time,u,v,w,p,q,r,phi,theta,psi,x,y,z,fx,fy,fz,mx,my,mz
2.04,10,2,0,0,0,0,0,0,0,20.5,0.04,0,0,50,0,0,0,0
2.05,10,2.5,0,0,0,0,0,0,0,20.6,0.0625,0,0,50,0,0,0,0
2.06,10,3,0,0,0,0,0,0,0,20.7,0.09,0,0,50,0,0,0,0
2.07,10,3.5,0,0,0,0,0,0,0,20.8,0.1225,0,0,50,0,0,0,0
2.08,10,4,0,0,0,0,0,0,0,20.9,0.16,0,0,50,0,0,0,0
2.09,10,4.5,0,0,0,0,0,0,0,21,0.2025,0,0,50,0,0,0,0
2.1,10,5,0,0,0,0,0,0,0,21.1,0.25,0,0,50,0,0,0,0
2.11,10,5.5,0,0,0,0,0,0,0,21.2,0.3025,0,0,50,0,0,0,0
2.12,10,6,0,0,0,0,0,0,0,21.3,0.36,0,0,50,0,0,0,0
2.13,10,6.5,0,0,0,0,0,0,0,21.4,0.4225,0,0,50,0,0,0,0
2.14,10,7,0,0,0,0,0,0,0,21.5,0.49,0,0,50,0,0,0,0
2.15,10,7.5,0,0,0,0,0,0,0,21.6,0.5625,0,0,50,0,0,0,0
2.16,10,8,0,0,0,0,0,0,0,21.7,0.64,0,0,50,0,0,0,0
2.17,10,8.5,0,0,0,0,0,0,0,21.8,0.7225,0,0,50,0,0,0,0
2.18,10,9,0,0,0,0,0,0,0,21.9,0.81,0,0,50,0,0,0,0
2.19,10,9.5,0,0,0,0,0,0,0,22,0.9025,0,0,50,0,0,0,0
2.2,10,10,0,0,0,0,0,0,0,22.1,1,0,0,50,0,0,0,0
2.21,10,10.5,0,0,0,0,0,0,0,22.2,1.1025,0,0,50,0,0,0,0
2.22,10,11,0,0,0,0,0,0,0,22.3,1.21,0,0,50,0,0,0,0
2.23,10,11.5,0,0,0,0,0,0,0,22.4,1.3225,0,0,50,0,0,0,0
2.24,10,12,0,0,0,0,0,0,0,22.5,1.44,0,0,50,0,0,0,0
2.25,10,12.5,0,0,0,0,0,0,0,22.6,1.5625,0,0,50,0,0,0,0
2.26,10,13,0,0,0,0,0,0,0,22.7,1.69,0,0,50,0,0,0,0
2.27,10,13.5,0,0,0,0,0,0,0,22.8,1.8225,0,0,50,0,0,0,0
2.28,10,14,0,0,0,0,0,0,0,22.9,1.96,0,0,50,0,0,0,0
2.29,10,14.5,0,0,0,0,0,0,0,23,2.1025,0,0,50,0,0,0,0
2.3,10,15,0,0,0,0,0,0,0,23.1,2.25,0,0,50,0,0,0,0
2.31,10,15.5,0,0,0,0,0,0,0,23.2,2.4025,0,0,50,0,0,0,0
2.32,10,16,0,0,0,0,0,0,0,23.3,2.56,0,0,50,0,0,0,0
2.33,10,16.5,0,0,0,0,0,0,0,23.4,2.7225,0,0,50,0,0,0,0
2.34,10,17,0,0,0,0,0,0,0,23.5,2.89,0,0,50,0,0,0,0
2.35,10,17.5,0,0,0,0,0,0,0,23.6,3.0625,0,0,50,0,0,0,0
2.36,10,18,0,0,0,0,0,0,0,23.7,3.24,0,0,50,0,0,0,0
2.37,10,18.5,0,0,0,0,0,0,0,23.8,3.4225,0,0,50,0,0,0,0
2.38,10,19,0,0,0,0,0,0,0,23.9,3.61,0,0,50,0,0,0,0
2.39,10,19.5,0,0,0,0,0,0,0,24,3.8025,0,0,50,0,0,0,0
2.4,10,20,0,0,0,0,0,0,0,24.1,4,0,0,50,0,0,0,0
2.41,10,20.5,0,0,0,0,0,0,0,24.2,4.2025,0,0,50,0,0,0,0
2.42,10,21,0,0,0,0,0,0,0,24.3,4.41,0,0,50,0,0,0,0
2.43,10,21.5,0,0,0,0,0,0,0,24.4,4.6225,0,0,50,0,0,0,0
2.44,10,22,0,0,0,0,0,0,0,24.5,4.84,0,0,50,0,0,0,0
2.45,10,22.5,0,0,0,0,0,0,0,24.6,5.0625,0,0,50,0,0,0,0
2.46,10,23,0,0,0,0,0,0,0,24.7,5.29,0,0,50,0,0,0,0
2.47,10,23.5,0,0,0,0,0,0,0,24.8,5.5225,0,0,50,0,0,0,0
2.48,10,24,0,0,0,0,0,0,0,24.9,5.76,0,0,50,0,0,0,0
2.49,10,24.5,0,0,0,0,0,0,0,25,6.0025,0,0,50,0,0,0,0
2.5,10,25,0,0,0,0,0,0,0,25.1,6.25,0,0,50,0,0,0,0
2.51,10,25.5,0,0,0,0,0,0,0,25.2,6.5025,0,0,50,0,0,0,0
2.52,10,26,0,0,0,0,0,0,0,25.3,6.76,0,0,50,0,0,0,0
2.53,10,26.5,0,0,0,0,0,0,0,25.4,7.0225,0,0,50,0,0,0,0
2.54,10,27,0,0,0,0,0,0,0,25.5,7.29,0,0,50,0,0,0,0
2.55,10,27.5,0,0,0,0,0,0,0,25.6,7.5625,0,0,50,0,0,0,0
2.56,10,28,0,0,0,0,0,0,0,25.7,7.84,0,0,50,0,0,0,0
2.57,10,28.5,0,0,0,0,0,0,0,25.8,8.1225,0,0,50,0,0,0,0
2.58,10,29,0,0,0,0,0,0,0,25.9,8.41,0,0,50,0,0,0,0
2.59,10,29.5,0,0,0,0,0,0,0,26,8.7025,0,0,50,0,0,0,0
2.6,10,30,0,0,0,0,0,0,0,26.1,9,0,0,50,0,0,0,0
2.61,10,30.5,0,0,0,0,0,0,0,26.2,9.3025,0,0,50,0,0,0,0
2.62,10,31,0,0,0,0,0,0,0,26.3,9.61,0,0,50,0,0,0,0
2.63,10,31.5,0,0,0,0,0,0,0,26.4,9.9225,0,0,50,0,0,0,0
2.64,10,32,0,0,0,0,0,0,0,26.5,10.24,0,0,50,0,0,0,0
2.65,10,32.5,0,0,0,0,0,0,0,26.6,10.5625,0,0,50,0,0,0,0
2.66,10,33,0,0,0,0,0,0,0,26.7,10.89,0,0,50,0,0,0,0
2.67,10,33.5,0,0,0,0,0,0,0,26.8,11.2225,0,0,50,0,0,0,0
2.68,10,34,0,0,0,0,0,0,0,26.9,11.56,0,0,50,0,0,0,0
2.69,10,34.5,0,0,0,0,0,0,0,27,11.9025,0,0,50,0,0,0,0
2.7,10,35,0,0,0,0,0,0,0,27.1,12.25,0,0,50,0,0,0,0
